@id,sample.samplingPoint,sample.samplingPoint.notation,sample.samplingPoint.label,sample.sampleDateTime,determinand.label,determinand.definition,determinand.notation,resultQualifier.notation,result,codedResultInterpretation.interpretation,determinand.unit.label,sample.sampledMaterialType.label,sample.isComplianceSample,sample.purpose.label,sample.samplingPoint.easting,sample.samplingPoint.northing
http://environment.data.gov.uk/water-quality/data/measurement/AN-1928986-8651,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE0235,AN-BE0235,WEST MERSEA BEACH OPPOSITE FAIRHAVEN AVE,2019-02-14T15:00:00,Zn - wet wt,Zinc : Wet Wt,8651,,15500.0,,ug/kg,MYTILUS EDULIS - MUSSEL - WHOLE ANIMAL,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),602270,212030
http://environment.data.gov.uk/water-quality/data/measurement/AN-1928986-1528,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE0235,AN-BE0235,WEST MERSEA BEACH OPPOSITE FAIRHAVEN AVE,2019-02-14T15:00:00,HeptachlrWWt,Heptachlor : Wet Wt,1528,<,0.03,,ug/kg,MYTILUS EDULIS - MUSSEL - WHOLE ANIMAL,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),602270,212030
http://environment.data.gov.uk/water-quality/data/measurement/AN-1928986-3159,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE0235,AN-BE0235,WEST MERSEA BEACH OPPOSITE FAIRHAVEN AVE,2019-02-14T15:00:00,PCB 153 WWt,PCB - 153 : Wet Wt,3159,,0.293,,ug/kg,MYTILUS EDULIS - MUSSEL - WHOLE ANIMAL,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),602270,212030
http://environment.data.gov.uk/water-quality/data/measurement/AN-1928986-1556,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE0235,AN-BE0235,WEST MERSEA BEACH OPPOSITE FAIRHAVEN AVE,2019-02-14T15:00:00,DDT(PP')WWt,DDT -pp : Wet Wt,1556,<,0.1,,ug/kg,MYTILUS EDULIS - MUSSEL - WHOLE ANIMAL,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),602270,212030
http://environment.data.gov.uk/water-quality/data/measurement/AN-1928986-1496,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE0235,AN-BE0235,WEST MERSEA BEACH OPPOSITE FAIRHAVEN AVE,2019-02-14T15:00:00,HCHDelta WWt,HCH -delta : Wet Wt,1496,<,0.1,,ug/kg,MYTILUS EDULIS - MUSSEL - WHOLE ANIMAL,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),602270,212030
http://environment.data.gov.uk/water-quality/data/measurement/AN-1928986-8652,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE0235,AN-BE0235,WEST MERSEA BEACH OPPOSITE FAIRHAVEN AVE,2019-02-14T15:00:00,Cr - wet wt,Chromium : Wet Wt,8652,,171.0,,ug/kg,MYTILUS EDULIS - MUSSEL - WHOLE ANIMAL,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),602270,212030
http://environment.data.gov.uk/water-quality/data/measurement/AN-1928986-3414,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE0235,AN-BE0235,WEST MERSEA BEACH OPPOSITE FAIRHAVEN AVE,2019-02-14T15:00:00,PBDE 153 WW,"2,2,4,4,5,5 Hexabromodiphenyl Ether: Wet Wt",3414,<,0.02,,ug/kg,MYTILUS EDULIS - MUSSEL - WHOLE ANIMAL,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),602270,212030
http://environment.data.gov.uk/water-quality/data/measurement/AN-1928986-1500,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE0235,AN-BE0235,WEST MERSEA BEACH OPPOSITE FAIRHAVEN AVE,2019-02-14T15:00:00,HCHGamma WWt,HCH -gamma : Wet Wt :- {Lindane},1500,,0.214,,ug/kg,MYTILUS EDULIS - MUSSEL - WHOLE ANIMAL,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),602270,212030
http://environment.data.gov.uk/water-quality/data/measurement/AN-1928986-0270,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE0235,AN-BE0235,WEST MERSEA BEACH OPPOSITE FAIRHAVEN AVE,2019-02-14T15:00:00,Hg - Dry Wt,Mercury : Dry Wt,270,,0.225,,mg/kg,MYTILUS EDULIS - MUSSEL - WHOLE ANIMAL,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),602270,212030
http://environment.data.gov.uk/water-quality/data/measurement/AN-1928986-8680,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE0235,AN-BE0235,WEST MERSEA BEACH OPPOSITE FAIRHAVEN AVE,2019-02-14T15:00:00,Lipid tot ww,Lipids : Total : Wet Wt,8680,,1.2,,%,MYTILUS EDULIS - MUSSEL - WHOLE ANIMAL,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),602270,212030
